Ano,Período,Código,Nome,Turma,Horário,Nota,Situação
2009,1,EMC0003,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,-,-,6.00,APROVADO
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,6.50,APROVADO
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,5.10,APROVADO
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,5.00,APROVADO
2009,1,EMC0042,DESENHO,-,-,5.80,APROVADO
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,6.10,APROVADO
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,6.30,APROVADO
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,7.80,APROVADO
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,6.00,APROVADO
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,6.80,APROVADO
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,7.10,APROVADO
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,9.30,APROVADO
2009,1,EMC0232,TÓPICOS EM ENG DE CONTROLE E AUTOMAÇÃO 1,-,-,-,CANCELADA
2009,1,EMC0100,INTRODUÇÃO À ENGENHARIA,-,-,-,CANCELADA
2009,1,EMC0159,MÉTODOS MATEMÁTICOS LINEARES,-,-,-,CANCELADA
2009,1,IFI0084,FÍSICA II,-,-,-,CANCELADA
2009,1,IME0149,FUNÇÕES DE VARIÁVEIS COMPLEXAS,-,-,-,CANCELADA
2009,1,IFI0129,INTRODUÇÃO À FÍSICA MODERNA,-,-,-,CANCELADA
2009,2,ESA0094,ECONOMIA,-,-,-,CANCELADA
2009,2,EMC0116,LAB DE MICROPROCESSADORES E MICROCONTROLADORES,-,-,-,CANCELADA
2009,2,EMC0162,MICROPROCESSADORES E MICROCONTROLADORES,-,-,-,CANCELADA
2009,2,INF0183,REDES DE COMPUTADORES 1,-,-,-,CANCELADA
2009,2,EMC0236,TÓPICOS EM ENG DE SISTEMAS DE INFORMAÇÃO 1,-,-,-,CANCELADA
2009,2,EMC0237,TÓPICOS EM ENG DE SISTEMAS DE INFORMAÇÃO 2,-,-,-,CANCELADA
2009,2,INF0213,TÓPICOS AVANÇADOS EM PROGRAMAÇÃO,-,-,-,CANCELADA
2009,2,INF0214,TÓPICOS AVANÇADOS EM PROGRAMAÇÃO II,-,-,-,CANCELADA
2009,2,INF0003,ADMINISTRAÇÃO DE SISTEMAS GNU/LINUX,-,-,-,CANCELADA
2009,1,EMC0002,ADMINISTRAÇÃO,-,-,5.00,APROVADO
2009,1,EMC0003,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,-,-,5.00,APROVADO
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,6.30,APROVADO
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,5.00,APROVADO
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,5.00,APROVADO
2009,1,EMC0019,CIÊNCIAS DO AMBIENTE,-,-,5.50,APROVADO
2009,1,EMC0042,DESENHO,-,-,5.70,APROVADO
2009,1,ESA0094,ECONOMIA,-,-,5.00,APROVADO
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,5.20,APROVADO
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,5.20,APROVADO
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,7.70,APROVADO
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,5.60,APROVADO
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,5.40,APROVADO
2009,1,EMC0156,METODOLOGIA CIENTÍFICA,-,-,5.50,APROVADO
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,5.00,APROVADO
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,7.70,APROVADO
2009,1,ICB0069,BIOLOGIA,-,-,5.30,APROVADO
2009,1,ESA0054,COMUNICAÇÃO E EXPRESSÃO CIENTÍFICA,-,-,5.50,APROVADO
2009,1,ESA0198,INDUSTRIALIZAÇÃO DE PRODUTOS DE ORIGEM VEGETAL,-,-,8.00,APROVADO
2009,1,ESA0348,INTRODUÇÃO À ENGENHARIA DE ALIMENTOS,-,-,5.00,APROVADO
2009,1,EMC0162,MICROPROCESSADORES E MICROCONTROLADORES,-,-,-,CANCELADA
2009,1,INF0183,REDES DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,INF0109,INTRODUÇÃO À COMPUTAÇÃO,-,-,9.40,APROVADO
2009,1,FAL0224,INTRODUÇÃO AOS ESTUDOS DA LINGUAGEM,-,-,9.80,APROVADO
2009,1,FAL0163,FONÉTICA E FONOLOGIA,-,-,9.80,APROVADO
2009,1,FAL0275,LÍNGUA ESTRANGEIRA 1 FRANCÊS,-,-,8.70,APROVADO
2009,1,FAL0444,PRÁTICA ORAL DE FRANCÊS,-,-,8.60,APROVADO
2009,1,IME0190,INTRODUÇÃO À TEORIA DOS NÚMEROS,-,-,6.00,APROVADO
2009,1,EMC0026,CIRCUITOS LÓGICOS 2,-,-,-,CANCELADA
2009,1,IME0286,MATEMÁTICA DISCRETA,-,-,-,CANCELADA
2009,1,INF0109,INTRODUÇÃO À COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0183,NANOCIÊNCIA E NANOTECNOLOGIA,-,-,7.80,APROVADO
2009,1,IME0232,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,EMC0122,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,IFI0112,FÍSICA 1,-,-,5.00,APROVADO
2009,1,IME0096,DINÂMICA DE POP.: MODELAGEM MATEMÁT.  E SIMULAÇÕES,-,-,5.00,APROVADO
2009,1,IFI0201,TÓPICOS DE FÍSICA: ENSINO E PESQUISA,-,-,8.00,APROVADO
2009,1,IME0175,HISTÓRIA E APLICAÇÕES DA CRIPTOGRAFIA,-,-,7.00,APROVADO
2009,1,INF0063,ESTRUTURAS DE DADOS I,-,-,-,CANCELADA
2009,1,IME0009,ÁLGEBRA LINEAR,-,-,5.00,APROVADO
2009,1,INQ0158,QUÍMICA GERAL B,-,-,8.60,APROVADO
2009,1,INF0007,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,EMC0085,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0158,METODOLOGIA CIENTÍFICA,-,-,-,CANCELADA
2009,1,IFI0143,FÍSICA EXPERIMENTAL II,-,-,7.10,APROVADO
2009,1,IME0075,CÁLCULO 1A,-,-,6.40,APROVADO
2009,1,IFI0147,LABORATÓRIO DE FÍSICA III,-,-,6.50,APROVADO
2009,1,IFI0051,EVOLUÇÃO DA FÍSICA I,-,-,6.00,APROVADO
2009,1,EMC0010,ARQUITETURA DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,EMC0021,CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,EMC0025,CIRCUITOS LÓGICOS 1,-,-,-,CANCELADA
2009,1,INF0009,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,EEC0026,CIÊNCIAS DO AMBIENTE,-,-,-,CANCELADA
2009,1,IFI0116,FÍSICA 3,-,-,-,CANCELADA
2009,1,IFI0158,LABORATÓRIO DE FÍSICA 1,-,-,5.60,APROVADO
2009,1,EMC0119,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,IME0080,CÁLCULO 2A,-,-,5.10,APROVADO
2009,1,INF0126,LINGUAGENS FORMAIS,-,-,-,CANCELADA
2009,1,INF0146,PARADIGMAS DE LINGUAGEM DE PROGRAMAÇÃO,-,-,-,CANCELADA
2009,1,EMC0012,ARQUITETURA DE COMPUTADORES 2,-,-,-,CANCELADA
2009,1,INQ0161,QUÍMICA GERAL EXPERIMENTAL,-,-,8.60,APROVADO
2009,1,FAL0195,INGLÊS INSTRUMENTAL,-,-,-,CANCELADA
2009,1,INF0182,REDES DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,IFI0112,FÍSICA 1,-,-,-,CANCELADA
2009,1,ESA0089,ECOLOGIA E MEIO AMBIENTE,-,-,-,CANCELADA
2009,1,INF0063,ESTRUTURAS DE DADOS I,-,-,-,CANCELADA
2009,1,INF0007,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0075,CÁLCULO 1A,-,-,-,CANCELADA
2009,1,EMC0040,CONVERSÃO ELETROMECÂNICA DE ENERGIA 1,-,-,-,CANCELADA
2009,1,IFI0158,LABORATÓRIO DE FÍSICA 1,-,-,-,CANCELADA
2009,1,INF0092,INTELIGÊNCIA COMPUTACIONAL,-,-,-,CANCELADA
2009,1,EMC0170,PESQUISA OPERACIONAL 1,-,-,-,CANCELADA
